0,1,2,3,4,5,6,7,8
CD3D,MZB1,CD74,FTH1,COL6A2,PHGR1,TYROBP,IGFBP7,SRGN
TRAC,TENT5C,CD37,IFI27,CALD1,PIGR,CD74,IFI27,FTH1
B2M,ABCB9,HLA-DRB1,TXN,CST3,LGALS4,CST3,SPARCL1,TMSB4X
CD2,IGLL5,RPS20,PHGR1,C1S,KRT8,HLA-DRB1,ENG,ALOX5AP
SRGN,PIM2,MS4A1,KRT8,DCN,KRT19,FCER1G,A2M,SAMSN1
HLA-B,AC009570.2,RPLP2,FABP1,C1R,EPCAM,PSAP,TM4SF1,FCER1G
IL32,SPINK2,RPS13,LGALS4,SERPING1,C15orf48,MS4A6A,NPDC1,CD9
MALAT1,ERN1,CD79B,AL365226.2,IGFBP7,AGR2,SAT1,VWF,CLU
TMSB4X,AC007569.1,RPS25,SPINK1,COL1A2,TSPAN8,TMSB4X,CAVIN1,MALAT1
IL7R,CASP10,RPL10,TNNC2,LUM,ELF3,GRN,IGFBP4,B2M
RPL10,ANKRD28,HLA-DQA1,AGR2,SOD3,CLDN4,FTH1,ADGRL4,HPGD
RPS25,H2BC8,RPS21,TSPAN8,SELENOM,S100P,HLA-DMA,ESAM,MS4A2
RPLP2,SH2D6,RPS12,EPCAM,GSN,TMEM54,HLA-DQA1,RAMP3,TYROBP
RPS12,KIF19,IRF8,RPS21,SERPINF1,AGR3,SPI1,PLVAP,VWA5A
RPS20,ELL2,TMSB4X,C15orf48,SPARC,IFI27,SRGN,B2M,RPL10
RPS21,ZNF215,HLA-DMA,RAB25,FBLN1,SLC44A4,ACTB,CAV1,HDC
CD247,KCNN3,BCL11A,RPLP2,PCOLCE,TSPAN1,CTSB,BCAM,KIT
ACTB,RNF223,BANK1,PRSS3,COL3A1,VSIG2,B2M,HLA-B,MAOB
NFKBIA,CDK14,BLK,MISP,MFGE8,CA2,HLA-DRB6,EPAS1,RHEX
RPS13,ZBP1,MARCHF1,KRT19,MMP2,TXN,TGFBI,ANXA2,CNRIP1
CST7,AC242376.2,BCAS4,AC103702.2,CNN3,CD9,CSF1R,MMRN2,AREG
GZMA,AC239799.2,CD22,CYCS,COL6A3,B3GNT7,MNDA,CD34,SLC18A2
AAK1,RASSF6,ARHGAP24,DPEP1,PMP22,MUC12,LYZ,CDH5,ASAH1
TIGIT,ANKRD36B,ACTB,ASS1,PSAP,WFDC2,FCGR2A,RDX,NFKBIA
ITM2A,STK33,BASP1,AGR3,PLAC9,CDX1,ASAH1,S1PR1,CLEC4O
CD6,UTS2B,TCL1A,S100P,CCDC80,GPA33,CTSC,STOM,ALAS1
FYN,MAP3K9,LINC01781,CDX1,CTSK,CST3,LY96,SPARC,BHLHE40
BATF,POU2F3,SMIM14,SCD,TPM1,LGALS2,ANXA2,SLC9A3R2,PTGS1
AC034238.1,CABLES1,TNFRSF13B,MPST,DSTN,C10orf99,CPVL,MGST2,CD37
CD96,AL021155.2,SPIB,CLDN4,TIMP2,FABP1,TMEM176B,PCAT19,BATF
